product_id,name,brand,category,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
2611,Britannia Goodday Chocochip Cookies,Britannia,Biscuits,12000,17,5,9900,400,False,400
2612,Britannia Good Day Pista Badam,Britannia,Biscuits,4500,2,1,4400,200,False,200
2613,Cadbury Chocobakes Chocolate Filled Cookies ,Cadbury,Biscuits,3000,0,5,3000,75,False,75
2614,Dukes Waffy Strawberry Roll,Dukes,Biscuits,15000,50,3,7500,250,False,250
2615,Parle Monaco Classic Salty Biscuits,Parle,Biscuits,7000,0,4,7000,400,False,400
2616,Dukes Waffy Orange Wafers,Dukes,Biscuits,4500,51,5,2200,60,False,75
2617,Britannia Good Day Pista Badam,Britannia,Biscuits,2000,0,6,2000,100,False,100
2618,Britannia Milk Bikis Biscuits Packet,Britannia,Biscuits,2000,0,3,2000,200,False,200
2619,Britannia Toastea (Premium Bake Rusk),Britannia,Biscuits,6500,0,6,6500,400,False,400
2620,Dukes Waffy Strawberry Wafers,Dukes,Biscuits,4500,51,2,2200,60,False,75
2621,Britannia Toastea Premium Bake Rusk,Britannia,Biscuits,3500,0,3,3500,182,False,182
2622,Lotte Choco Pie ,Lotte Choco Pie,Biscuits,8000,10,3,7200,168,False,168
2623,Bauli Moonfils Choco Veg Puff Roll,Bauli,Biscuits,1500,0,2,1500,45,False,45
2624,Sunfeast Dark Fantasy Choco Fills Cookies Packet,Sunfeast,Biscuits,15000,15,3,12700,300,False,300
2625,Britannia 50-50 Maska Chaska Biscuit,Britannia,Biscuits,7500,10,6,6750,300,False,300
2626,Britannia 50-50 Sweet & Salty Biscuit,Britannia,Biscuits,2500,0,4,2500,200,False,200
2627,Britannia Good Day Chunky Cookies,Britannia,Biscuits,5000,15,6,4250,120,False,120
2628,Sunfeast Marie Light,Sunfeast,Biscuits,2300,13,1,2000,200,False,200
2629,Britannia Bourbon Biscuit Buy 4 Get 1 Free,Britannia,Biscuits,8000,10,2,7200,500,False,500
2630,The Bake Shop Whole Wheat Oats Khari,The,Biscuits,6500,6,5,6100,200,False,200
2631,Britannia Nutri Choice Oats Milk Almond Biscuit,Britannia,Biscuits,2500,10,6,2250,75,False,75
2632,Sunfeast Dark Fantasy Choco Creme,Sunfeast,Biscuits,8000,27,4,5800,300,False,300
2633,Lotte Choco Pie Chocolate Cake,Lotte Choco Pie,Biscuits,2500,0,6,2500,56,False,56
2634,Sunfeast Mom's Magic Cashew & Almond Cookies Packet,Sunfeast,Biscuits,3000,10,3,2700,200,False,200
2635,Unibic SugarFree - Oatmeal Cookies,Unibic,Biscuits,5000,16,3,4200,75,False,75
2636,Parle Hide & Seek Cookies With Added Almonds,Parle,Biscuits,3000,3,1,2900,100,False,100
2637,Unibic Fruit & Nut Cookies,Unibic,Biscuits,2500,8,3,2300,67,False,67
2638,Sunfeast Yumfills Whoopie Pie,Sunfeast,Biscuits,14000,25,5,10500,253,False,276
2639,Britannia Toastea Premium Bake Rusk,Britannia,Biscuits,11000,14,1,9400,700,False,700
2640,McVitie's Marie biscuits with Goodness of Calcium,McVitie's,Biscuits,3000,0,6,3000,250,False,250
2641,Britannia Treat Croissant Vanilla Creme Roll,Britannia,Biscuits,2000,10,2,1800,47,False,47
2642,Unibic Honey Oatmeal Cookies,Unibic,Biscuits,2500,8,6,2300,75,False,75
2643,Britannia Good Day Choco Chip Cookies,Britannia,Biscuits,3000,3,6,2900,100,False,100
2644,The Bake Shop Masala Cheese Crackers,The,Biscuits,9500,6,3,8900,100,False,100
2645,Britannia Pure Magic Vanilla Creme Biscuit,Britannia,Biscuits,3500,17,4,2900,100,False,100
2646,Open Secret Assorted Story Box,Open Secret,Biscuits,10500,22,4,8100,75,False,75
2647,Cadbury Oreo Dipped Biscuit,Cadbury,Biscuits,7000,10,1,6300,150,False,150
2648,Sunfeast Farmlite Oats & Almonds Biscuits Packet,Sunfeast,Biscuits,6000,10,3,5400,150,False,150
2649,Unibic SugarFree - Butter Cookies,Unibic,Biscuits,5000,16,6,4200,75,False,75
2650,Britannia Good Day Cashew Cookies Packet,Britannia,Biscuits,12000,12,6,10560,600,False,600
2651,Dukes Sour & Cream Onion Nibbles Baked,Dukes,Biscuits,5500,25,3,4100,150,False,150
2653,Parle Hide & Seek Choco Rolls,Parle,Biscuits,5000,2,4,4900,120,False,120
2654,Britannia Treat Creme Wafers - Vanilla,Britannia,Biscuits,4500,11,6,4000,60,False,1
2655,Parle Rusk Elaichi,Parle,Biscuits,4800,2,6,4700,300,False,300
2656,Lotte Choco Pie ,Lotte Choco Pie,Biscuits,14000,6,2,13100,336,False,336
2657,Sunfeast Mom's Magic Cashew & Almond Biscuits,Sunfeast,Biscuits,12000,15,6,10200,600,False,600
2658,Unibic Cashew Cookies,Unibic,Biscuits,2500,8,6,2300,75,False,75
2659,Parle Monaco Jeffs Zeera Biscuit,Parle,Biscuits,6000,10,4,5400,200,False,200
2660,"Unibic Snack Bar - Multigrain, Choco",Unibic,Biscuits,4000,17,6,3300,30,False,30
2661,The Bake Shop Methi Khari Simply Delicious,The,Biscuits,6500,6,2,6100,200,False,200
2662,Britannia Treat Jimjam Family Pack (Buy 4 Get 1 Free),Britannia,Biscuits,10000,0,6,10000,500,False,500
2663,Open Secret Choco Almond Tiffin Pack,Open Secret,Biscuits,3500,22,3,2700,25,False,25
2664,Lotte Choco Pie ,Lotte Choco Pie,Biscuits,15000,20,6,12000,696,False,12
2666,Parle Hide & Seek Choco Rolls,Parle,Biscuits,3000,0,1,3000,75,False,75
2667,Sunfeast Dark Fantasy Vanilla Creme,Sunfeast,Biscuits,8000,15,6,6800,300,False,300
2668,Britannia Treat Burst Choco Creme Fills,Britannia,Biscuits,3000,0,3,3000,120,False,120
2669,Parle Milano Mixed Berries Cookies,Parle,Biscuits,3500,2,3,3400,75,False,75
2671,Britannia Pure Magic Choco Lush Cookies,Britannia,Biscuits,12000,20,4,9600,300,False,300
2672,Britannia Treart Creme Wafers Chocolate,Britannia,Biscuits,4500,11,6,4000,60,False,1
2673,Unibic Daily Digestive (Multigrain Cookies),Unibic,Biscuits,3000,6,6,2800,75,False,75
2674,Cadbury Chocobakes Choc Filled Cookies,Cadbury,Biscuits,6000,0,6,6000,150,False,150
2675,The Bake Shop Whole Wheat Multigrain Toast (Rusk),The,Biscuits,6000,6,2,5600,200,False,200
2676,Unibic Choco Kiss Cookies,Unibic,Biscuits,4500,15,5,3800,75,False,75
2677,Britannia Treat Creme Wafers - Orange,Britannia,Biscuits,4500,11,6,4000,60,False,60
2678,Bauli Moonfills Pack of 4,Bauli,Biscuits,6000,10,6,5400,180,False,190
2679,Unibic Oatmeal Digestive Cookies ,Unibic,Biscuits,5000,6,6,4700,150,False,150
2681,Britannia Good Day Cashew Cookies Pack Of 6,Britannia,Biscuits,12000,10,6,10800,120,False,120
2682,Parle Fab Bourbon,Parle,Biscuits,3000,0,3,3000,150,False,150
2683,Open Secret White Choco Tiffin Pack,Open Secret,Biscuits,3500,22,1,2700,25,False,25
2684,The Bake Shop Whole Wheat Bread Sticks,The,Biscuits,6000,6,1,5600,100,False,100
2685,Unibic Assorted Cookies ,Unibic,Biscuits,14900,8,6,13700,450,False,450
2686,The Bake Shop Milk & Raisin Toast (Rusk),The,Biscuits,6000,6,4,5600,200,False,200
2687,Lotte Choco Pie Cocoa Pie,Lotte Choco Pie,Biscuits,9000,10,6,8100,168,False,168
2688,Bauli Moonfils Veg - Strawberry,Bauli,Biscuits,1500,0,5,1500,45,False,47
2689,The Bake Shop Masala Lavash,The,Biscuits,7500,6,6,7000,100,False,200
2690,Britannia Good Day Nut Cookies,Britannia,Biscuits,3000,0,6,3000,120,False,120
2691,Sunfeast Mom's Magic Rich Butter Cookies,Sunfeast,Biscuits,3000,10,6,2700,200,False,200
2692,The Bake Shop Whole Wheat Toast (Rusk) ,The,Biscuits,6000,6,4,5600,200,False,200
2693,Open Secret Peanut Butter Story Box,Open Secret,Biscuits,10500,22,6,8100,75,False,75
2694,Open Secret White Choco Story Box,Open Secret,Biscuits,10500,22,6,8100,75,False,75
2695,The Bake Shop Whole Wheat Multigrain Lavash,The,Biscuits,7500,6,3,7000,100,False,200
2696,McVitie's Oat Cookies,McVitie's,Biscuits,4500,0,2,4500,120,False,120
2697,Britannia Tiger Krunch Biscuits,Britannia,Biscuits,12000,0,4,12000,400,False,400
2698,McVitie's Butter Cookies,McVitie's,Biscuits,3000,10,6,2700,200,False,200
2699,Bauli Moonfils Strawberry,Bauli,Biscuits,1500,0,5,1500,45,False,45
2700,Britannia Good Day Butter Cookies,Britannia,Biscuits,8000,10,6,7200,600,False,600
2702,The Bake Shop Jeera Ajwain Bread Sticks,The,Biscuits,6000,6,6,5600,100,False,100
2703,Parle Fab!o Vanilla Creme Sandwich Biscuit,Parle,Biscuits,3000,3,6,2900,120,False,120
2704,Sunfeast Farmlite Nuts Digestive,Sunfeast,Biscuits,7000,11,6,6200,250,False,250
2705,Britannia Pure Magic - Chocolush,Britannia,Biscuits,3500,2,6,3400,100,False,100
2706,The Bake Shop Maska & Multigrain Cheese Crackers,The,Biscuits,13000,10,3,11600,100,False,150
2707,Britannia Nutri Choice Ragi Cookies,Britannia,Biscuits,7000,10,6,6300,150,False,150
2708,Sunfeast Farmlite 5 Seed Digestive,Sunfeast,Biscuits,6000,0,2,6000,250,False,250
2709,Dukes Nibbles - Ranch Crackers,Dukes,Biscuits,5000,0,6,5000,150,False,150
2711,The Bake Shop Sesame Seed Crackers,The,Biscuits,13000,10,4,11600,100,False,150
2712,Good Day Butter Cookies,Good,Biscuits,1000,0,0,1000,75,True,75
2713,Britannia Marie Gold Biscuits Packet,Britannia,Biscuits,3000,0,0,3000,250,True,250
2714,Britannia Good Day Cashew Cookies,Britannia,Biscuits,2000,0,0,2000,100,True,100
2715,Sunfeast Dark Fantasy Choco Fills,Sunfeast,Biscuits,3500,8,0,3200,75,True,75
2716,Britannia Nutri Choice Digestive Biscuits Packet,Britannia,Biscuits,2500,0,0,2500,100,True,100
2717,Britannia Classic Little Hearts ,Britannia,Biscuits,2500,0,0,2500,75,True,75
2718,Britannia Good Day Cashew Cookies Packet,Britannia,Biscuits,4000,5,0,3800,200,True,200
2719,Britannia Nice Time Biscuit,Britannia,Biscuits,2500,0,0,2500,150,True,150
2720,Britannia Milk Bikis Cream Biscuit,Britannia,Biscuits,4500,0,0,4500,200,True,200
2721,Britannia Bourbon Chocolate Cream Biscuits,Britannia,Biscuits,3500,2,0,3400,150,True,150
2722,Dukes Waffy Chocolate Wafer Rolls ,Dukes,Biscuits,15000,50,0,7500,250,True,250
2723,Britannia Milk Bikis Milky Sandwich,Britannia,Biscuits,2500,0,0,2500,120,True,120
2724,Britannia Marie Gold Biscuit,Britannia,Biscuits,2800,0,0,2800,200,True,200
2725,Britannia Marie Gold (Buy 4 Get 1 Free),Britannia,Biscuits,8000,0,0,8000,600,True,600
2726,Britannia 50-50 Maska Chaska Biscuit,Britannia,Biscuits,1000,0,0,1000,46,True,45
2727,Unibic Choco Nut Cookies,Unibic,Biscuits,2500,8,0,2300,75,True,75
2728,Britannia Vita Marie Gold Biscuit,Britannia,Biscuits,4500,0,0,4500,300,True,300
2729,The Bake Shop Maska Khari,The,Biscuits,6500,6,0,6100,200,True,100
2730,Parle Fab! Jam-In Cream Filled ,Parle,Biscuits,3500,2,0,3400,150,True,150
2731,Sunfeast Nice Biscuit,Sunfeast,Biscuits,2500,12,0,2200,150,True,150
2732,Britannia Nutrichoice 5 Grain Digestive Biscuits,Britannia,Biscuits,7500,0,0,7500,200,True,200
2733,Cadbury Oreo Strawberry Bicuits,Cadbury,Biscuits,3000,3,0,2900,120,True,120
2734,Sunfeast Mom's Magic Cashew & Almond Biscuit,Sunfeast,Biscuits,1000,0,0,1000,60,True,60
2735,Britannia Roll Yo! Strawberry Swiss Roll,Britannia,Biscuits,1000,0,0,1000,28,True,28
2736,Bauli Moonfils Choco Cream (With Egg),Bauli,Biscuits,1500,0,0,1500,45,True,45
2737,Britannia Nutri Choice Oats Choco Almond Biscuit,Britannia,Biscuits,2500,10,0,2250,100,True,75
2738,Britannia Nutri Choice Cracker Sugar Free Biscuit,Britannia,Biscuits,3500,0,0,3500,300,True,300
2739,Cadbury Oreo Chocolatey Sandwich Biscuits Family Pack,Cadbury,Biscuits,8000,0,0,8000,300,True,300
2740,Bauli Moonfils Orange Puff Roll,Bauli,Biscuits,1500,0,0,1500,45,True,45
2741,Britannia Treat Jimjam Cream Biscuits ,Britannia,Biscuits,2500,0,0,2500,100,True,100
2742,Britannia Toastea Premium Bake Rusk,Britannia,Biscuits,5000,6,0,4700,300,True,300
2743,The Bake Shop Jeera Khari,The,Biscuits,6500,0,0,6500,200,True,200
2744,"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",Cadbury,Biscuits,3000,3,0,2900,120,True,120
2745,Britannia Good Day Cashew Cookies,Britannia,Biscuits,23000,25,0,17200,1000,True,1
2746,Bauli Moonfils - Vanilla,Bauli,Biscuits,1500,0,0,1500,45,True,45
2747,Britannia Roll Yo! Choco Swiss Roll (With Egg),Britannia,Biscuits,1000,0,0,1000,28,True,28
2748,Britannia Milk Bikis Cream Biscuit,Britannia,Biscuits,7000,0,0,7000,500,True,500
2749,Open Secret Choco Almond Story Box,Open Secret,Biscuits,10500,22,0,8100,75,True,75
2750,Parle Monaco Sixer Salted Biscuits ,Parle,Biscuits,6000,10,0,5400,200,True,200
2751,Sunfeast Dark Fantasy Bourbon Bliss,Sunfeast,Biscuits,3500,17,0,2900,150,True,150
2752,Patanjali Atta Doodh Rusk,Patanjali,Biscuits,4000,0,0,4000,300,True,300
2755,Dettol Original Germ Protection Alcohol Based Hand Sanitizer,Dettol,Personal Care,2500,0,6,2500,50,False,50
2756,Colgate Visible White Toothpaste,Colgate,Personal Care,11500,10,6,10300,100,False,100
2757,Dettol SKincare Handwash Value Refill,Dettol,Personal Care,10900,3,6,10500,750,False,750
2758,Savlon Herbal Sensitive Liquid Handwash Refill Pouch,Savlon,Personal Care,11500,4,6,11000,750,False,500
2759,Colgate Total 12 Whole Mouth Protection Toothpaste,Colgate,Personal Care,12000,10,6,10800,120,False,120
2761,Colgate Herbal Toothpaste,Colgate,Personal Care,11400,18,2,9300,200,False,200
2762,Nivea Men Deodorant Fresh Active 48h Long lasting Freshness,Nivea,Personal Care,22500,24,6,16900,150,False,150
2763,Dabur Meswak Toothpaste,Dabur,Personal Care,5800,5,6,5500,100,False,100
2764,Colgate Max Fresh Cooling Crystals Toothpaste,Colgate,Personal Care,10100,5,2,9500,150,False,150
2766,Colgate Sensitive Soft Bristles Toothbrush,Colgate,Personal Care,5000,0,6,5000,58,False,1
2767,Pears Pure & Gentle Glycerin Bath Soap,Pears Pure,Personal Care,7500,0,6,7500,125,False,125
2768,Vaseline Skin Protecting Jelly,Vaseline,Personal Care,7900,13,6,6800,50,False,50
2769,Dettol Original Germ Protection Bathing Soap Bar,Dettol,Personal Care,16600,5,4,15700,375,False,375
2770,Dettol Intense Cool Soap (B4G1),Dettol,Personal Care,26000,5,6,24700,625,False,625
2774,Godrej Nupur – 100% Pure Henna (Mehendi),Godrej,Personal Care,1000,0,6,1000,18,False,18
2776,Set Wet Style Vertical Hold Hair Gel,Set Wet,Personal Care,5000,10,4,4500,50,False,50
2777,"Godrej Expert Rich Crème, Natural Black",Godrej,Personal Care,3000,0,6,3000,20,False,20
2779,Godrej Expert Creme Hair Natural Brown Colour ,Godrej,Personal Care,3000,0,6,3000,20,False,20
2780,Veet Sensitive Skin Hair Removal Cream,Veet,Personal Care,13500,5,6,12800,50,False,50
2782,Pears Pure And Gentle Value Pack Of 3 Bathing Soap,Pears Pure,Personal Care,19900,6,5,18600,375,False,375
2783,Gillette Presto Ready Shaver 5 Cartridges ,Gillette,Personal Care,8800,6,6,8200,290,False,5
2785,"Godrej Expert Rich Crème, Dark Brown",Godrej,Personal Care,3000,0,4,3000,20,False,20
2786,Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil ,Nivea,Personal Care,18500,15,3,15700,100,False,100
2787,Fiama Gel Bar Celebration Pack Buy 4 Get 1 Free,Fiama,Personal Care,29000,10,6,26100,625,False,625
2788,Gillette Sensitive Shaving Foam,Gillette,Personal Care,22500,6,4,21000,418,False,418
2789,Dove Hair Fall Rescue Shampoo,Dove,Personal Care,15000,6,5,14100,180,False,180
2790,Gillette Mach 3 Mens Razor Blades,Gillette,Personal Care,49900,7,4,46000,232,False,4
2791,Palmolive Aroma Absolute Relax Shower Gel,Palmolive,Personal Care,19900,20,2,15900,250,False,250
2792,Godrej Protekt Germ Fighter Handwash,Godrej,Personal Care,9900,0,6,9900,750,False,750
2793,Dettol Hand Sanitizer,Dettol,Personal Care,10000,5,6,9500,200,False,200
2794,Dabur Amla Hair Oil,Dabur,Personal Care,8800,0,2,8800,180,False,180
2795,Dettol Original Liquid Handwash,Dettol,Personal Care,8900,4,6,8500,200,False,200
2796,L'Oreal Paris Total Repair 5 Conditioner,L'Oreal,Personal Care,19900,0,6,19900,192,False,180
2797,Patanjali Saundarya Aloe Vera Gel,Patanjali,Personal Care,9000,0,5,9000,150,False,150
2798,Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ,Head &,Personal Care,19500,10,4,17400,180,False,180
2799,Clean & Clear Pimple Clearing Face Wash,Clean & Clear,Personal Care,13000,10,2,11700,80,False,80
2800,Himalaya Anti Dandruff Shampoo,Himalaya,Personal Care,14000,8,2,12800,200,False,200
2801,Stayfree Secure Dry Cover Regular Sanitary Pad With Wings,Stayfree,Personal Care,3000,3,6,2900,406,False,7
2802,Savlon Moisture Shield Hand Wash,Savlon,Personal Care,9900,4,6,9500,750,False,750
2803,Dove Intense Repair Conditioner,Dove,Personal Care,19000,14,6,16200,175,False,80
2804,Dabur Gulabari Rose Glow Face Cleanse,Dabur,Personal Care,7500,5,4,7100,100,False,100
2805,Parachute Jasmine Hair Oil,Parachute,Personal Care,8200,9,6,7400,190,False,190
2806,Johnson's Baby Skincare Wipes,Johnson's Baby,Personal Care,7900,6,6,7400,1160,False,20
2807,Dettol Skincare Liquid Hand Wash,Dettol,Personal Care,7900,0,6,7900,200,False,200
2808,Old Spice Original Lather Shaving Cream,Old Spice,Personal Care,7500,9,6,6800,70,False,70
2809,Veet Hair Removal Cream Dry Skin,Veet,Personal Care,13500,5,5,12800,50,False,50
2810,L'Oreal Paris Total Repair 5 Shampoo,L'Oreal,Personal Care,26500,0,2,26500,396,False,360
2811,Fiama Menthol & Magnolia Cooling Gel Bar Soap,Fiama,Personal Care,16000,11,6,14100,375,False,375
2812,Nivea Lip Balm Original Care for 24h Moisture with Shea Butter & Natural Oils,Nivea,Personal Care,14000,15,6,11900,5,False,4
2813,Oral-B Charcoal Deep Clean Stain Removal Toothbrush Soft,Oral-B,Personal Care,9900,0,3,9900,232,False,4
